CustomerID,CreditScore,State,Age,Years,Balance,NumOfAccounts,HasCard,IsActiveMember,EstimatedSalary,CheckingAcct
15565706,612.0,New York,35.0,1,0.0,1,1,1,90212,1
15566030,497.0,Connecticut,41.0,5,80542.81,1,0,0,88729,1
15566211,616.0,Connecticut,41.0,1,103560.57,1,1,0,236,1
15566251,618.0,New Jersey,37.0,5,96652.86,1,1,0,98686,1
15566253,580.0,Connecticut,44.0,9,143391.07,1,0,0,146891,1
15566312,660.0,New York,42.0,5,0.0,3,1,1,189016,1
15566378,515.0,New Jersey,48.0,5,129387.94,1,0,1,147956,1
15566495,704.0,New York,24.0,2,0.0,1,1,0,35600,1
15566531,724.0,Connecticut,33.0,4,88046.88,1,0,1,186942,1
15566563,777.0,New Jersey,30.0,4,137851.31,1,1,0,5008,1
15566708,444.0,New Jersey,45.0,4,0.0,2,1,0,161654,1
15566988,656.0,Connecticut,46.0,7,141535.52,1,1,0,50595,1
15567063,766.0,Connecticut,34.0,6,106434.94,1,0,1,137996,1
15567506,738.0,Connecticut,40.0,6,114940.67,2,1,1,194896,1
15567630,721.0,Connecticut,40.0,6,100275.88,1,1,0,138564,1
15567778,690.0,Connecticut,54.0,1,144027.8,1,1,1,108731,1
15567860,581.0,New York,44.0,7,189318.16,2,1,0,45026,1
15567980,537.0,Connecticut,46.0,5,100727.5,1,0,1,140858,1
15568006,634.0,New Jersey,45.0,2,0.0,4,1,0,101040,1
15568573,554.0,Connecticut,51.0,7,105701.91,1,0,1,179798,1
15568748,671.0,Connecticut,45.0,6,99564.22,1,1,1,108872,1
15568819,619.0,Connecticut,42.0,8,132796.04,3,1,1,191821,1
15568963,674.0,Connecticut,34.0,2,152797.9,1,1,0,175709,1
15569050,444.0,New Jersey,45.0,6,0.0,1,1,0,130010,1
15569079,632.0,Connecticut,48.0,6,126066.26,1,1,0,64346,1
15569098,627.0,New Jersey,44.0,6,153548.12,1,0,0,35300,1
15569248,554.0,New Jersey,43.0,10,0.0,2,1,0,149629,1
15569249,576.0,New Jersey,55.0,6,44582.07,3,0,1,67540,1
15569274,678.0,Connecticut,49.0,2,116933.11,1,1,0,195054,1
15569432,656.0,New Jersey,48.0,9,0.0,2,1,1,85241,1
15569571,584.0,Connecticut,46.0,6,87361.02,2,1,0,120377,1
15569590,601.0,Connecticut,42.0,1,98495.72,1,1,0,40015,1
15569641,692.0,Connecticut,41.0,8,130701.29,1,1,0,59354,1
15569666,517.0,New Jersey,45.0,4,0.0,1,0,0,172674,1
15569682,768.0,Connecticut,37.0,9,108308.11,1,1,0,41788,1
15569807,673.0,New Jersey,34.0,8,42157.08,1,1,0,20599,1
15569917,706.0,New York,30.0,6,87609.68,2,0,0,137675,1
15569976,754.0,Connecticut,65.0,1,136186.44,1,1,1,121530,1
15570002,625.0,Connecticut,55.0,8,118772.71,4,0,0,135854,1
15570060,586.0,New Jersey,43.0,8,132558.26,1,1,0,67047,1
15570087,664.0,New Jersey,44.0,8,142989.69,1,1,1,115453,1
15570289,697.0,Connecticut,43.0,8,103409.16,1,1,0,66893,1
15570379,669.0,New York,51.0,3,88827.53,1,0,0,85251,1
15570533,621.0,Connecticut,55.0,7,131033.76,1,0,1,75686,1
15570601,785.0,New Jersey,47.0,9,122031.55,1,1,1,33824,1
15570835,491.0,Connecticut,57.0,4,112044.72,1,1,1,41230,1
15570931,620.0,New Jersey,61.0,5,0.0,1,0,0,31642,1
15570932,666.0,New Jersey,43.0,7,137780.74,2,1,1,119100,1
15571059,734.0,New Jersey,54.0,3,0.0,1,1,0,130806,1
15571193,579.0,Connecticut,42.0,0,144386.32,1,1,1,22497,1
15571221,747.0,Connecticut,58.0,7,116313.57,1,1,1,190696,1
15571305,588.0,Connecticut,35.0,1,103060.63,1,1,0,179866,1
15571415,805.0,Connecticut,56.0,6,151802.29,1,1,0,46791,1
15571586,524.0,New York,29.0,3,159035.45,1,1,0,2705,1
15571778,817.0,New Jersey,55.0,10,117561.49,1,1,0,95942,1
15571869,669.0,Connecticut,50.0,4,112650.89,1,0,0,166386,1
15571928,679.0,New Jersey,43.0,4,0.0,3,1,0,115137,1
15572038,660.0,Connecticut,35.0,9,113948.58,1,1,0,188892,1
15572050,768.0,Connecticut,48.0,3,122831.58,1,1,1,24534,1
15572182,505.0,Connecticut,33.0,3,106506.77,3,1,0,45446,1
15572547,670.0,New Jersey,45.0,9,104930.38,1,1,0,155922,1
15573077,620.0,Connecticut,25.0,8,141825.88,1,1,1,73858,1
